Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000028,4.833333333333334,-1.9385994553358568,0.3521335818730401,0.003427623449745427,3.732647887022319e-05,0.003732647887022319
ENSG00000000041,22.666666666666668,1.064130337419716,0.01662081739448956,0.5976573385505167,1.6177687396417847e-05,0.0016177687396417846
ENSG00000000059,11.5,-1.1926450779423958,0.2343437423039541,1.02068178449596,1.1736052024462367e-05,0.0011736052024462367
ENSG00000000070,7.0,-1.3219280948873622,0.1436649774567629,0.6342136310878319,4.675600153135082e-06,0.0004675600153135082
ENSG00000000075,37.833333333333336,1.4443020937840387,0.0011217566910312663,0.015996078777228556,3.424865905307235e-05,0.0034248659053072355
ENSG00000000087,12.166666666666666,-1.6114347120823473,0.15952505703569383,0.54799788193632,2.434837644363305e-05,0.002434837644363305
ENSG00000000091,7.166666666666667,-1.917537839808027,0.001523700677314799,0.8849807829023898,2.4099379890791487e-05,0.0024099379890791485
ENSG00000000122,29.666666666666668,1.5208321633014406,0.03370049141027766,-0.8343075239763535,2.133526214623837e-05,0.002133526214623837
ENSG00000000140,9.333333333333332,-1.4506614090095653,0.15536844406017866,-0.9256315064847639,2.644788117042669e-05,0.002644788117042669
ENSG00000000223,9.333333333333334,1.197939377611909,0.22080472349329186,0.3117191561227355,3.6604340258416085e-05,0.0036604340258416085
ENSG00000000246,8.0,-1.2801079191927354,0.0729179497001271,0.7218895169854379,2.093698835120144e-05,0.002093698835120144
ENSG00000000259,13.333333333333334,-1.3093280581077287,0.016470561013827777,-2.1684956956607335,1.9610974774093535e-05,0.0019610974774093536
ENSG00000000274,18.333333333333336,1.0395283641866375,0.04272322110979392,0.5762792825388318,3.6834009965251053e-06,0.0003683400996525105
ENSG00000000277,10.333333333333332,-1.914270125974116,0.11797265687860939,0.723341810393906,1.4121157986140864e-05,0.0014121157986140863
ENSG00000000303,2.6666666666666665,1.1375035237499347,0.03062091275971047,-1.1028882392272452,1.5516619878610744e-05,0.0015516619878610744
ENSG00000000310,7.666666666666667,-1.84799690655495,0.10484887415084387,1.1619059142831036,1.6734952249404068e-05,0.0016734952249404067
ENSG00000000320,29.166666666666668,1.4876652993662414,0.015751908967801924,-0.6422910194761962,1.1336524490286391e-05,0.001133652449028639
ENSG00000000342,10.0,-1.7162070339994087,0.3375517397724528,-0.07664205883625971,3.226014860822014e-05,0.0032260148608220136
ENSG00000000349,7.333333333333333,-1.5849625007211563,0.12660701143233902,-1.812664816396706,2.3356932067843393e-05,0.002335693206784339
ENSG00000000350,27.833333333333332,1.3523017439308813,0.23453916997744956,0.8135737864574804,2.4143904282498107e-05,0.002414390428249811
ENSG00000000395,13.833333333333334,-1.2976805486406853,0.06864234091350634,-0.5700774452518093,2.05570477234164e-06,0.000205570477234164
ENSG00000000403,7.166666666666666,-1.5405683813627027,0.0319189654018657,-0.5664941663041977,2.558987106904176e-05,0.002558987106904176
ENSG00000000455,32.0,1.4671260104272978,0.06366403766724382,-1.4380031714560175,5.733973741793106e-06,0.0005733973741793106
ENSG00000000480,10.666666666666666,-1.4671260104272978,0.3635726127493386,1.7304208233622607,2.175285414822001e-05,0.002175285414822001
ENSG00000000586,30.0,1.418713157422242,0.2647308204355154,-0.5105919584575805,1.509940069051793e-06,0.00015099400690517928
ENSG00000000590,8.0,-1.5849625007211563,0.07632700768310886,-1.7966766281189703,1.3782609731595015e-05,0.0013782609731595014
ENSG00000000606,29.333333333333332,1.5415699052077756,0.5324547233645992,-0.8687839476805825,3.781125961277369e-05,0.003781125961277369
ENSG00000000610,22.166666666666664,1.269186632815389,0.2529986515668058,-0.024936116894294532,3.528989521803075e-05,0.003528989521803075
ENSG00000000645,22.0,1.4150374992788437,0.3581951076284885,-0.8490938010931635,1.9541615675915243e-05,0.0019541615675915244
ENSG00000000651,23.5,1.4909863525121423,0.01724906362775919,0.6798484135769907,1.137230918853275e-05,0.001137230918853275
ENSG00000000678,6.666666666666666,-1.0544477840223765,0.3593838287860107,-0.24964044982656203,3.0473560448087432e-05,0.0030473560448087433
ENSG00000000698,9.5,-1.234465253637023,0.2225196861111659,0.5115988544966338,2.3955897129711607e-05,0.0023955897129711605
ENSG00000000724,13.666666666666666,-1.2730184944064158,0.11759833181047796,-0.7892257239096072,2.6567775529534273e-05,0.0026567775529534273
ENSG00000000771,27.5,1.4594316186372975,0.006030572456232647,-0.10079042790358163,7.787656684008261e-06,0.0007787656684008261
ENSG00000000774,7.333333333333334,-1.0995356735509143,0.2723919820699065,-1.0113844897202995,2.0691545202230505e-05,0.0020691545202230505
ENSG00000000782,15.666666666666668,1.4646682670034443,0.06772060083947805,-1.823054117598208,3.427966002898776e-05,0.003427966002898776
ENSG00000000800,11.833333333333334,-1.3504972470841332,0.0002120309235191031,1.5815542595408423,3.2201572611738345e-05,0.0032201572611738347
ENSG00000000912,7.833333333333333,1.0931094043914815,0.2394466220193494,0.18253157241098722,2.889293692450596e-05,0.002889293692450596
ENSG00000000918,13.0,-1.4405725913859815,0.3145220111957361,1.9846201408029078,2.6981854962328993e-05,0.0026981854962328995
ENSG00000000923,15.333333333333332,1.3439544012173614,0.07255251430881098,-0.5027960993767681,1.751065260749293e-05,0.0017510652607492933
