Geneid,Length,counts,fpkm
ENSG00000227232.6,1380,39,0.9223391656996403
ENSG00000279457.4,1397,70,1.6353351211678
ENSG00000292994.1,8224,16,0.06349536309814943
ENSG00000290385.1,6204,11,0.05786634154689505
ENSG00000225972.1,372,4680,410.58969311790435
ENSG00000225630.1,1044,39088,1221.9349338401905
ENSG00000237973.1,1543,27068,572.5262080409101
ENSG00000229344.1,682,773,36.99135580188112
ENSG00000240409.1,207,16,2.5226370343921785
ENSG00000248527.1,681,150158,7196.254156087
ENSG00000198744.5,547,3884,231.73787751449936
ENSG00000291215.1,7026,45,0.20903042249646972
ENSG00000237491.10,8413,27,0.10474131095639103
ENSG00000225880.6,3312,24,0.23649722197426673
ENSG00000228794.12,17958,2437,4.428969525185307
ENSG00000288531.1,3292,44,0.4362123729731918
ENSG00000188976.11,5540,733,4.318166063462992
ENSG00000187961.15,3402,26,0.24942740518626363
ENSG00000187583.11,3451,15,0.14185721515118288
ENSG00000187642.10,3561,3920,35.92685683774202
ENSG00000272512.1,2086,43,0.672758636239357
ENSG00000188290.11,1118,57,1.6639419928887136
ENSG00000187608.10,867,31,1.1669378496031293
ENSG00000188157.15,10761,174,0.527717804483421
ENSG00000131591.18,6322,23,0.11873492289565368
ENSG00000186827.12,1975,22,0.3635471219817082
ENSG00000078808.20,4686,731,5.091200759351276
ENSG00000176022.7,2805,124,1.442759523145687
ENSG00000160087.21,4691,435,3.0264182978288705
ENSG00000162572.21,4025,76,0.6162441898300892
ENSG00000131584.19,8707,544,2.0390857296488054
ENSG00000169972.13,2640,16,0.1977976765602958
ENSG00000127054.22,8216,1337,5.310997618985401
ENSG00000240731.1,386,52,4.396642655148543
ENSG00000224051.7,2555,762,9.733503668855572
ENSG00000169962.5,3475,27,0.2535794673600339
ENSG00000107404.21,3882,3523,29.618444203018328
ENSG00000162576.17,3622,303,2.7302304913395883
ENSG00000175756.14,1381,1225,28.94993148062982
ENSG00000221978.13,6842,1629,7.770395862943453
ENSG00000224870.9,2532,90,1.1600693115799339
ENSG00000242485.6,2767,919,10.839555722884155
ENSG00000272455.1,1523,29,0.6214457533427548
ENSG00000235098.9,2644,69,0.8517120074277487
ENSG00000179403.12,5065,172,1.1082918185155368
ENSG00000160072.20,7686,142,0.6029663754628845
ENSG00000197785.14,3344,236,2.303301891524497
ENSG00000205090.10,2009,11,0.17869725383620552
ENSG00000160075.12,6919,1787,8.429199873129935
ENSG00000215014.5,2349,11,0.15283217665259125
ENSG00000272106.1,2038,351,5.6209285760498195
ENSG00000197530.13,8723,1458,5.455025455704501
ENSG00000248333.9,3490,714,6.6769467838305
ENSG00000189339.12,8462,976,3.7642800559288627
ENSG00000008128.23,5085,24,0.15403712864872593
