node,degree,betweenness,closeness
ENSG00000000698,1,0.0,0.07692307692307693
ENSG00000000678,3,0.015384615384615385,0.12307692307692308
ENSG00000000349,2,0.003076923076923077,0.11694386694386694
ENSG00000000342,2,0.003076923076923077,0.11694386694386694
ENSG00000000480,1,0.0,0.038461538461538464
ENSG00000000277,1,0.0,0.038461538461538464
ENSG00000000586,2,0.1723076923076923,0.19667832167832164
ENSG00000000259,2,0.1723076923076923,0.19667832167832164
ENSG00000000246,2,0.03692307692307692,0.13736263736263735
ENSG00000000320,2,0.00923076923076923,0.10256410256410256
ENSG00000000223,2,0.03692307692307692,0.13736263736263735
ENSG00000000075,1,0.0,0.07692307692307693
ENSG00000000610,1,0.0,0.038461538461538464
ENSG00000000059,1,0.0,0.038461538461538464
ENSG00000000303,1,0.0,0.14423076923076922
ENSG00000000912,3,0.18153846153846154,0.18812709030100333
ENSG00000000122,4,0.19384615384615383,0.18812709030100333
ENSG00000000918,1,0.0,0.038461538461538464
ENSG00000000310,1,0.0,0.038461538461538464
ENSG00000000070,1,0.0,0.14423076923076922
ENSG00000000087,3,0.11692307692307692,0.16025641025641024
ENSG00000000771,1,0.0,0.12726244343891402
ENSG00000000274,2,0.043076923076923075,0.1311188811188811
ENSG00000000395,1,0.0,0.10817307692307691
ENSG00000000403,3,0.13846153846153847,0.16642011834319523
ENSG00000000140,1,0.0,0.06837606837606838
ENSG00000000923,1,0.0,0.14423076923076922
